token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,label
Sg,Tg,Tg,Sr,Sb,Cr,Tr,Tb,0
Tb,Sb,Tr,Tg,Cb,Tb,Cb,Sr,1
Sg,Cr,Cg,Tb,Tr,Sb,Sg,Cb,1
Sg,Sr,Tg,Cg,Cr,Cr,Cb,Sg,0
Cb,Tb,Cb,Cr,Tr,Tr,Tb,Sg,0
Sg,Sb,Tr,Sb,Tr,Sr,Tg,Sb,0
Cr,Cg,Cg,Cb,Sg,Sb,Sb,Cb,1
Cb,Sg,Tb,Tg,Sg,Sg,Tg,Sg,0
Sg,Tg,Cr,Sr,Tg,Cg,Sr,Sb,1
Sb,Cb,Sr,Sb,Sr,Tg,Tr,Tr,1
Cb,Cb,Tg,Cr,Cr,Sb,Tr,Tg,1
Tg,Cb,Tg,Tg,Tr,Cr,Sr,Cr,0
Cb,Cb,Cb,Tb,Tg,Tg,Tg,Cg,1
Cg,Tr,Tg,Cb,Cr,Sr,Tr,Tg,0
Tr,Tr,Tg,Sb,Cb,Tb,Sb,Sb,1
Sb,Cg,Sb,Tr,Cb,Cg,Sg,Sr,0
Tb,Tr,Sr,Sr,Tb,Cr,Cb,Tg,1
Tr,Tr,Tr,Cr,Tb,Sg,Tb,Cb,0
Cg,Tg,Sr,Tr,Sr,Cr,Cr,Cr,1
Sr,Tb,Sr,Tg,Sg,Cr,Tr,Cg,1
Cg,Tg,Cg,Cr,Cr,Tr,Tg,Cr,1
Cr,Cg,Sb,Sb,Cb,Cb,Tb,Sr,1
Cb,Sb,Cr,Tg,Tr,Cb,Tb,Cb,0
Sr,Tb,Cb,Tr,Sg,Tb,Tg,Sb,0
Cr,Tb,Sg,Tr,Sr,Sg,Cr,Sg,1
Tb,Sb,Sg,Sr,Tg,Cg,Cg,Tr,0
Tb,Tg,Cr,Sr,Sb,Tr,Tr,Cb,0
Sb,Cr,Cr,Tr,Sg,Cr,Cr,Tg,0
Cb,Sr,Sb,Cb,Cb,Tr,Cr,Tr,0
Cr,Sg,Sg,Cb,Sr,Sr,Tr,Sr,0
Cb,Cg,Cg,Tg,Tg,Sb,Sb,Tr,0
Cb,Sg,Tg,Sg,Tb,Tg,Tb,Tr,0
Tb,Tb,Sr,Tg,Cg,Tr,Cb,Tb,1
Cr,Tr,Cg,Tg,Tg,Cg,Sg,Cg,1
Tg,Cr,Cb,Cr,Tb,Tg,Tr,Tb,0
Tr,Sr,Sr,Sb,Tb,Tg,Sg,Sb,0
Tb,Sb,Tb,Cb,Tr,Tr,Sg,Sb,1
Tg,Tr,Cb,Cg,Sg,Sg,Sr,Cb,1
Tg,Tb,Tr,Tr,Cr,Cb,Cg,Cr,1
Sb,Tg,Sg,Sg,Tg,Sr,Sb,Tr,0
Sg,Sr,Sr,Tr,Sg,Tg,Cg,Cr,0
Sg,Sg,Tb,Tg,Cr,Tg,Tg,Tb,1
Sb,Sb,Cb,Sg,Sg,Tb,Cr,Sr,0
Cr,Cg,Sg,Tg,Tb,Cr,Tb,Cr,0
Tb,Tb,Sr,Sb,Cg,Cr,Tr,Tb,1
Tr,Sr,Sb,Sg,Sg,Cr,Cb,Cg,0
Sb,Sr,Tg,Tb,Cg,Cr,Tg,Sg,0
Tb,Tb,Cb,Cb,Tg,Tr,Tb,Sr,1
Cg,Sr,Sr,Cg,Cr,Sr,Sg,Cb,0
Sg,Cr,Sr,Tb,Cb,Tb,Tb,Sb,1
Cg,Tb,Sr,Sg,Tb,Sr,Cr,Tb,1
Cr,Cb,Sg,Tb,Tg,Cb,Tr,Sr,0
Tg,Cb,Sg,Tg,Tb,Sb,Tr,Sb,1
Cr,Cb,Tb,Sg,Sb,Tr,Cg,Sg,1
Tr,Sb,Sr,Tr,Sg,Sr,Cg,Sg,0
Sr,Cg,Sr,Tr,Cg,Cb,Tr,Cr,1
Cr,Cb,Sg,Sg,Tr,Cb,Cg,Sg,0
Sg,Cb,Sb,Sr,Tg,Tr,Cg,Sr,0
Sb,Sb,Tb,Sb,Sr,Tb,Cb,Cr,1
Sg,Sr,Sr,Tg,Sb,Cg,Tb,Tr,1
Sb,Cr,Tg,Tb,Cb,Cg,Cg,Cb,0
Sr,Sg,Tb,Sb,Tr,Tr,Sg,Tb,0
Sr,Sg,Sg,Cb,Sg,Cr,Sb,Tg,1
Cg,Sb,Sg,Sr,Tb,Cb,Tr,Cg,1
Cr,Tg,Tg,Cb,Tb,Sb,Sr,Tb,1
Sb,Sb,Tg,Tg,Cg,Cb,Sg,Sr,1
Tr,Tr,Cb,Tr,Sg,Cg,Cr,Cg,0
Sr,Cg,Cg,Sg,Cr,Tr,Cb,Cg,0
Sr,Sr,Sr,Cr,Sg,Sb,Cg,Sr,0
Tg,Cg,Tr,Tb,Sg,Tr,Cb,Cb,0
Tr,Tg,Tr,Tb,Tr,Sb,Sg,Sr,1
Sg,Tr,Cg,Sg,Cb,Sg,Sb,Tr,0
Sg,Tr,Sg,Tr,Tr,Tg,Tr,Tg,1
Sb,Tb,Tg,Sr,Tg,Sg,Tr,Sg,0
Sr,Sr,Cb,Sg,Cb,Tb,Cg,Tg,1
Tg,Tg,Tb,Cr,Cr,Sg,Cr,Cb,0
Cr,Cb,Sb,Cr,Sg,Sr,Sb,Tg,1
Cb,Sr,Sr,Sb,Sr,Cr,Sr,Tg,0
Sb,Cg,Cr,Sb,Cg,Cr,Cg,Sb,1
Tr,Cb,Tr,Sr,Tb,Tg,Cb,Cg,1
Tr,Cb,Tr,Cg,Cb,Cr,Sg,Tb,1
Cr,Sb,Tr,Tb,Cg,Sg,Cr,Sg,1
Cr,Sg,Sr,Tr,Cg,Cr,Sg,Cr,1
Cg,Tg,Cr,Sg,Tr,Tr,Tr,Cr,1
Tr,Tg,Cg,Sb,Tr,Tr,Cg,Sr,1
Cg,Sr,Sr,Tg,Cr,Tr,Sb,Sb,1
Cr,Tb,Cr,Tr,Sb,Cb,Sb,Tr,0
Sb,Cr,Cb,Tg,Sb,Cb,Tr,Tb,1
Tb,Cg,Sg,Cb,Sg,Cr,Sb,Tg,1
Cb,Cg,Sg,Sg,Tr,Sr,Sr,Cg,0
Tg,Tr,Sg,Cb,Cb,Sr,Sr,Sg,0
Sr,Tb,Cr,Tg,Sr,Tr,Sb,Tg,1
Cg,Sg,Cg,Tr,Cb,Tb,Sr,Tg,0
Cr,Cr,Cb,Sg,Tb,Sg,Cb,Cr,0
Sb,Cg,Sb,Tr,Sg,Sr,Tr,Tb,0
Sb,Tr,Cr,Sg,Sb,Cr,Cb,Tr,1
Tr,Cg,Sb,Tg,Sg,Sr,Tg,Tr,0
Sb,Sg,Tb,Cb,Sg,Cr,Sb,Sb,0
Tr,Sb,Sg,Tb,Cb,Cr,Tg,Sb,1
Tb,Cb,Sg,Cb,Sg,Sb,Cg,Sb,1
Tr,Cb,Cb,Cg,Cg,Tg,Cr,Tg,1
Cr,Cr,Cr,Cb,Cr,Cg,Tg,Tb,0
Sb,Cr,Sb,Tg,Tg,Sg,Sb,Sb,1
Tr,Tb,Sr,Sb,Tg,Cb,Cb,Sg,1
Sb,Cr,Cr,Tr,Sr,Sr,Sg,Cg,0
Cr,Cr,Cr,Cr,Cg,Sb,Tb,Cr,0
Tr,Sb,Sr,Sg,Cb,Sb,Tg,Tb,0
Cr,Tr,Sg,Sb,Cr,Cb,Sb,Tg,0
Sb,Tg,Tb,Sg,Cb,Cg,Tr,Cb,1
Tr,Tg,Tb,Sr,Sr,Tr,Sb,Sb,0
Cr,Tg,Tb,Sg,Sg,Sb,Cb,Cg,1
Cb,Sr,Cb,Tr,Tg,Cg,Tb,Tg,1
Sb,Sr,Tg,Sr,Tr,Sg,Tg,Sb,1
Cr,Sr,Tr,Sr,Sr,Cg,Tb,Tr,1
Cr,Sg,Cg,Cr,Sr,Cr,Cg,Tg,0
Cb,Cb,Cr,Sb,Cb,Sr,Tb,Sr,0
Sg,Cr,Cb,Sb,Sg,Cb,Sg,Tg,1
Tr,Tb,Tr,Cb,Sg,Tr,Tb,Sr,0
Sr,Sb,Tr,Sr,Sr,Sg,Tg,Tb,1
