accno,object_name,year_info,accno_normalized,source
X-100,"Vase, Han style",listed as 200BC in card,X100,Batch A
C901,Silver hairpin,Republic era; 1920s,C901,Batch A
H222,Ewer,Islamic metalwork; 12th c,H222,Batch A
J150,Wood printing block,Qing; 19th c,J150,Batch A
L600,Snuff bottle,Qianlong style,L600,Batch A
G333,Jade pendant,Warring States style,G333,Batch A
F888,Cloisonne vase,19th c export,F888,Batch A
A001,Rubbing,20th c copy of stele,A001,Batch A
Z-999,vase replica,1998,Z999,Batch A
B-044,figurine porcelain,Qing early,B044,Batch A
B44,Porcelain figure,Kangxi period,B44,Batch A
N300,Inkstone,Ming; Wanli reign mentioned,N300,Batch A
M-205,Landscape handscroll,dated 1752 in ledger,M205,Batch A
T88,Bronze mirror,Tang; 618-907 range on card,T88,Batch A
T-088,mirror bronze,Tang dynasty per curator,T088,Batch A
P-401,textile robe piece,circa 1890-1910,P401,Batch A
K12,Stone Bodhisattva,Northern Qi style; year unclear,K12,Batch A
K-012,Bodhisattva stone,550 CE approx on label,K012,Batch A
R500,Celadon dish,Song; Longquan type,R500,Batch A
D77,Lacquer box,Edo; 17th c,D77,Batch A
D-077,box lacquer,Japan; 1600s,D077,Batch A
S400,Snuff dish,not in batch A; 1880,S400,Batch B
W700,Bronze bell,Ming; 15th c,W700,Batch B
Q-120,sword iron,400-200 BCE,Q120,Batch B
Y-050,beads glass,206 BCE-220 CE ref,Y050,Batch B
V303,Gilt bronze fitting,Tang,V303,Batch B
U808,Stoneware jar,Five Dynasties,U808,Batch B
E505,Painting album leaf,19th c,E505,Batch B
T88x,Bronze mirror (typo id),should match T88,T88X,Batch B
