token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,label
Tg,Tr,Cb,Cg,Cg,Cr,Tr,Sb,1
Cg,Cg,Cr,Cb,Cg,Tb,Sb,Cr,0
Cg,Cr,Sb,Sr,Tg,Cr,Tg,Cb,1
Cg,Cr,Tr,Tg,Sg,Cr,Tb,Sb,0
Tb,Cb,Tg,Sg,Cg,Cr,Cg,Tr,1
Cr,Tg,Sr,Tb,Sb,Sg,Sg,Tr,1
Sg,Tr,Tg,Sr,Tr,Tg,Cr,Sg,1
Sr,Cr,Tr,Cb,Sr,Sr,Tg,Tb,0
Tb,Tg,Cg,Tb,Tb,Cr,Tb,Sr,0
Sb,Tr,Sg,Sg,Sb,Sb,Tr,Cg,1
Tb,Cr,Cg,Cb,Tb,Sg,Cb,Cr,1
Cr,Sr,Tr,Tb,Tg,Tr,Sr,Sg,0
Cg,Sr,Sb,Tb,Sg,Tg,Sg,Cg,1
Sg,Cr,Tr,Tg,Tr,Tb,Cb,Sg,0
Cg,Tr,Cg,Tg,Sb,Cb,Tg,Cr,0
Sr,Tg,Tg,Sr,Sr,Tr,Cg,Tr,1
Cb,Cr,Cb,Cg,Tg,Sr,Tb,Sb,0
Tb,Sr,Cb,Cr,Sr,Sr,Tr,Cb,0
Tb,Cb,Tg,Cb,Sg,Sg,Sb,Tb,0
Sg,Cg,Tr,Sg,Sg,Sr,Sg,Tb,0
Sb,Cb,Cb,Tg,Tr,Cr,Tb,Tb,1
Cr,Tg,Cb,Tb,Cb,Sr,Tr,Cb,1
Tr,Sr,Sb,Tg,Cg,Cg,Sg,Tb,0
Tr,Cr,Cr,Sb,Cr,Cr,Tr,Tr,1
Cr,Sr,Tg,Sb,Cr,Tg,Cg,Sr,1
Sg,Sg,Cg,Sg,Tr,Tg,Sb,Cr,1
Cg,Sb,Cb,Tg,Sr,Cb,Sb,Cb,0
Tg,Cb,Cr,Cb,Sr,Tr,Tr,Sg,1
Tr,Tr,Sb,Tr,Tg,Cb,Tr,Sb,0
Tb,Sr,Cr,Cg,Cr,Sg,Cg,Sr,1
Cg,Cb,Sg,Sb,Tr,Tb,Cg,Sb,1
Cg,Cr,Sr,Cg,Cr,Cg,Tg,Cb,1
Cg,Sg,Tr,Tr,Sb,Cg,Sr,Cr,1
Cg,Tr,Sr,Tr,Sb,Sr,Cr,Cb,1
Sg,Sg,Tr,Cr,Tg,Sr,Tb,Tr,1
Sb,Tb,Sb,Sr,Tr,Sb,Tg,Sr,0
Sb,Tb,Sr,Sr,Cb,Sr,Tb,Tb,1
Tr,Sb,Cb,Tb,Cb,Tb,Sr,Tb,0
Sr,Tb,Tr,Tb,Cb,Sb,Sg,Tr,0
Cg,Tr,Tr,Cb,Tr,Tr,Cg,Sg,1
Tg,Tg,Tr,Sr,Tg,Tr,Tg,Sb,1
Sb,Cb,Cg,Cb,Sr,Sb,Tg,Tb,0
Cg,Tb,Tg,Sb,Cg,Cb,Cg,Tr,1
Sr,Sr,Cg,Sg,Tb,Sg,Sg,Sg,1
Sr,Tg,Tg,Cg,Sr,Tr,Cg,Sg,1
Sr,Sb,Cr,Tr,Tr,Sg,Tg,Sr,1
Sb,Tb,Cr,Sr,Cr,Cr,Cg,Cb,0
Cg,Cb,Cb,Sb,Sg,Sb,Cg,Cb,0
Cb,Cr,Tg,Cb,Sr,Tb,Sg,Sg,0
Tb,Tr,Tr,Cr,Sr,Sb,Sg,Cb,1
Tr,Cr,Cb,Sg,Sb,Sb,Sg,Cb,0
Tb,Cg,Tr,Cr,Cr,Cr,Tg,Cg,1
Tb,Sb,Cg,Tg,Sr,Sg,Sr,Sr,1
Sb,Cb,Cr,Cb,Sg,Tr,Sg,Cg,1
Tb,Cb,Cr,Sb,Cb,Tr,Sg,Tr,1
Tg,Sr,Sb,Tg,Cr,Cb,Cb,Sg,0
Cb,Tr,Cb,Sr,Sb,Tr,Tr,Cb,1
Sr,Tb,Cb,Tb,Tb,Sb,Tg,Tb,1
