accno,object_name,year_info,accno_normalized,source,century,period,year_start,year_end
X-100,"Vase, Han style",listed as 200BC in card,X100,Batch A,-2.0,BCE,-200.0,-200.0
C901,Silver hairpin,Republic era; 1920s,C901,Batch A,20.0,Modern (19th-20th c),,
H222,Ewer,Islamic metalwork; 12th c,H222,Batch A,12.0,Islamic/Medieval,1101.0,1200.0
J150,Wood printing block,Qing; 19th c,J150,Batch A,19.0,Dynastic China,1644.0,1912.0
L600,Snuff bottle,Qianlong style,L600,Batch A,18.0,Early Modern (17th-18th c),,
G333,Jade pendant,Warring States style,G333,Batch A,-4.0,Unknown,-475.0,-221.0
F888,Cloisonne vase,19th c export,F888,Batch A,19.0,Modern (19th-20th c),1801.0,1900.0
A001,Rubbing,20th c copy of stele,A1,Batch A,20.0,Modern (19th-20th c),1901.0,2000.0
Z-999,vase replica,1998,Z999,Batch A,20.0,Modern (19th-20th c),1998.0,1998.0
B-044,figurine porcelain,Qing early,B44,Batch A,18.0,Dynastic China,1644.0,1912.0
N300,Inkstone,Ming; Wanli reign mentioned,N300,Batch A,16.0,Dynastic China,1368.0,1644.0
M-205,Landscape handscroll,dated 1752 in ledger,M205,Batch A,18.0,Early Modern (17th-18th c),1752.0,1752.0
T88,Bronze mirror,Tang; 618-907 range on card,T88,Batch A,7.0,Dynastic China,618.0,907.0
P-401,textile robe piece,circa 1890-1910,P401,Batch A,19.0,Modern (19th-20th c),1890.0,1890.0
K12,Stone Bodhisattva,Northern Qi style; year unclear,K12,Batch A,6.0,Dynastic China,550.0,577.0
R500,Celadon dish,Song; Longquan type,R500,Batch A,12.0,Dynastic China,960.0,1279.0
D77,Lacquer box,Edo; 17th c,D77,Batch A,17.0,Edo Japan,1603.0,1868.0
S400,Snuff dish,not in batch A; 1880,S400,Batch B,19.0,Unknown,1880.0,1880.0
W700,Bronze bell,Ming; 15th c,W700,Batch B,15.0,Dynastic China,1368.0,1644.0
Q-120,sword iron,400-200 BCE,Q120,Batch B,-2.0,BCE,-200.0,-200.0
Y-050,beads glass,206 BCE-220 CE ref,Y50,Batch B,-3.0,BCE,-206.0,-206.0
V303,Gilt bronze fitting,Tang,V303,Batch B,7.0,Dynastic China,618.0,907.0
U808,Stoneware jar,Five Dynasties,U808,Batch B,10.0,Dynastic China,907.0,960.0
E505,Painting album leaf,19th c,E505,Batch B,19.0,Modern (19th-20th c),1801.0,1900.0
T88x,Bronze mirror (typo id),should match T88,T88X,Batch B,,Unknown,,
