line,section,time,raw,msg
1,,,Laboratory Notebook Excerpt — Catalyst-X9 (Confidential Draft),Laboratory Notebook Excerpt — Catalyst-X9 (Confidential Draft)
2,,,================================================================,================================================================
3,,,Run ID: CX9-LAB-0312 | Vessel: 1 L jacketed glass reactor | Date: 2024-03-12,Run ID: CX9-LAB-0312 | Vessel: 1 L jacketed glass reactor | Date: 2024-03-12
5,,14:00,"14:00 — Initialized the reactor, verified stirrer and temperature probe calibration, and confirmed cooling fluid circulation.","— Initialized the reactor, verified stirrer and temperature probe calibration, and confirmed cooling fluid circulation."
7,,14:08,"14:08 — Added 500 mL Precursor A (lot P-A-112), then 200 mL Reagent B (lot R-B-089). Mixed at 350 rpm.","— Added 500 mL Precursor A (lot P-A-112), then 200 mL Reagent B (lot R-B-089). Mixed at 350 rpm."
9,,14:20,14:20 — Ramped temperature to 120 °C at 5 °C/min under reflux (condenser water 18 °C).,— Ramped temperature to 120 °C at 5 °C/min under reflux (condenser water 18 °C).
11,,15:05,"15:05 — Held at 120 °C for 45 minutes until the solution turned deep amber, indicating completion of the primary exothermic phase.","— Held at 120 °C for 45 minutes until the solution turned deep amber, indicating completion of the primary exothermic phase."
13,,,[--- page break; following page not present in scanned upload ---],[--- page break; following page not present in scanned upload ---]
15,,,"Next, the synthesized slurry was transferred directly to 50 mL polypropylene centrifuge tubes and spun at 4000 RPM for 15 minutes to isolate the precipitate.","Next, the synthesized slurry was transferred directly to 50 mL polypropylene centrifuge tubes and spun at 4000 RPM for 15 minutes to isolate the precipitate."
17,,16:55,16:55 — Decanted supernatant; cake washed once with cold diethyl ether (volume not recorded in this excerpt).,— Decanted supernatant; cake washed once with cold diethyl ether (volume not recorded in this excerpt).
