token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Ty,Sy,Tr,Sb,Sy,Sr,Cb,Tg,Cg,Cy,Cb,1
Ty,Sy,Tg,Cg,Cb,Tb,Cg,Sb,Ty,Sg,Ty,0
Sg,Cr,Sb,Tr,Sr,Tr,Cg,Sy,Cy,Cb,Tg,1
Tr,Tr,Ty,Sg,Cy,Tr,Tb,Tb,Tb,Sy,Sr,0
Tb,Tr,Sb,Cg,Sy,Cb,Ty,Cr,Cb,Tg,Cy,0
Tr,Sy,Tg,Cb,Sb,Tg,Cy,Cr,Tb,Cb,Sb,0
Tb,Tg,Cy,Tg,Tg,Tb,Cr,Cy,Cg,Sr,Sr,0
Sb,Sg,Tg,Sg,Sb,Ty,Tr,Tg,Sg,Sb,Tb,1
Cr,Sb,Ty,Tb,Sb,Cg,Tb,Cy,Sb,Cg,Tr,1
Cy,Tg,Cb,Sr,Sr,Sb,Cr,Sr,Cy,Cr,Cr,1
Tr,Tg,Tb,Cr,Sy,Sb,Cy,Sr,Tb,Cy,Cy,1
Sy,Cb,Sb,Tb,Tg,Tg,Cr,Cb,Ty,Sg,Ty,0
Sy,Cy,Sg,Sg,Cr,Tr,Tb,Cr,Sg,Tg,Sy,1
Sb,Tb,Sb,Cr,Sg,Ty,Cy,Tg,Sr,Cr,Sy,1
Sr,Cy,Sb,Tb,Sb,Cy,Cy,Sy,Cr,Cb,Ty,0
Cg,Tr,Sb,Ty,Sy,Sy,Cr,Tr,Cr,Ty,Cg,0
Tb,Sg,Cy,Cg,Sy,Tr,Tb,Cy,Sg,Sy,Ty,0
Cr,Cy,Ty,Cb,Tb,Cr,Tg,Cg,Tb,Cr,Sr,1
Sb,Ty,Sy,Cr,Ty,Cg,Sb,Cg,Ty,Ty,Sy,1
Cb,Cg,Sg,Cy,Tb,Cb,Cy,Sg,Sb,Cb,Tr,0
Sy,Cg,Tg,Tb,Sg,Sg,Ty,Cg,Tr,Cg,Sb,1
Cy,Cr,Cg,Ty,Ty,Sr,Cg,Cb,Sb,Sr,Sr,0
Tg,Cy,Cb,Tg,Tb,Ty,Sr,Sg,Tb,Cr,Tr,0
Tb,Sg,Cy,Cb,Sr,Cy,Cg,Tr,Sb,Sb,Sy,1
Ty,Sb,Sr,Tr,Sr,Tg,Tr,Tr,Tb,Cy,Cr,0
Sb,Sg,Ty,Cb,Sg,Sb,Ty,Cy,Sb,Cb,Sy,0
Ty,Sg,Tr,Cy,Ty,Cy,Tb,Sb,Sy,Sr,Tb,1
Sg,Sb,Ty,Sg,Tr,Tg,Sb,Sg,Sr,Cb,Sb,0
Cr,Sr,Tr,Cr,Cy,Sb,Sy,Cg,Cr,Cb,Cr,0
Sy,Cy,Cy,Cg,Sy,Cb,Sy,Sr,Tb,Tb,Cy,0
Sy,Cy,Ty,Cb,Cy,Cg,Tr,Sb,Sb,Sy,Tg,1
