token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,label
Sg,Dr,Dy,Ty,Sg,Sy,Dr,Dg,Dy,Tg,Dg,Tg,0
Cy,Tb,Ty,Dr,Sy,Db,Sb,Sy,Dy,Dg,Tg,Cb,1
Tr,Sr,Dy,Db,Sr,Cg,Dg,Cb,Dy,Sb,Cy,Ty,0
Dg,Dg,Sb,Dy,Cg,Cg,Dg,Tg,Ty,Sy,Sg,Tr,0
Tb,Db,Cb,Sr,Cy,Dy,Dy,Ty,Dg,Cg,Dy,Sb,1
Cg,Cb,Sb,Tb,Cg,Dr,Ty,Sb,Dy,Tb,Dr,Cb,0
Tg,Sg,Tb,Db,Cg,Tg,Tb,Cb,Dr,Tb,Sr,Cb,0
Cr,Cg,Sg,Cb,Sr,Tg,Cr,Sr,Tr,Sg,Cr,Tr,0
Sb,Sr,Db,Sy,Cg,Sy,Sy,Sb,Tb,Cg,Tg,Cr,0
Cg,Cr,Tg,Dr,Sr,Db,Cg,Sr,Cb,Dr,Dy,Cy,1
Cr,Sy,Tg,Dg,Sy,Sg,Tr,Sr,Cy,Db,Tr,Tb,0
Cg,Tb,Cr,Tb,Cg,Ty,Dr,Sy,Tg,Tg,Dg,Tb,1
Cy,Tb,Sr,Tr,Cy,Cb,Cb,Dg,Tg,Cg,Db,Sy,1
Cy,Ty,Tr,Dg,Dg,Dy,Ty,Dr,Sb,Sr,Dr,Sr,0
Dg,Cr,Tb,Sb,Cb,Dg,Dg,Dr,Sr,Db,Dr,Dg,0
Tr,Cg,Cg,Tr,Cr,Dy,Dr,Tb,Cy,Dy,Tr,Cg,1
Cg,Cb,Sb,Tr,Db,Cg,Sb,Cr,Cy,Db,Sg,Cg,0
Sb,Tr,Sb,Sg,Dg,Tb,Sg,Cg,Dg,Tr,Sr,Cg,0
Dy,Dy,Db,Cy,Cb,Cy,Tr,Dy,Ty,Db,Cy,Cy,1
Cy,Ty,Sr,Tg,Cg,Dg,Dg,Sg,Dy,Dg,Cr,Sg,1
Dr,Cg,Tr,Dg,Db,Dg,Cr,Cb,Ty,Cg,Sy,Tr,0
Db,Sb,Dy,Cg,Cb,Tr,Sy,Dg,Tr,Tg,Cg,Dy,1
Dg,Tr,Cg,Cg,Cb,Cg,Sb,Dy,Dg,Cg,Dy,Ty,0
Dy,Tg,Tb,Sy,Dy,Tr,Dr,Sb,Ty,Sb,Tb,Dr,0
Sb,Db,Sr,Cr,Sy,Db,Cg,Cr,Db,Cy,Tg,Ty,1
Dy,Sr,Dg,Tr,Sg,Sr,Sy,Sg,Tr,Cy,Sb,Sr,1
Tb,Cy,Sr,Dy,Dr,Tg,Dg,Dr,Sg,Sr,Ty,Tg,0
Sy,Sb,Dg,Sb,Cy,Dy,Tb,Cb,Db,Cr,Sg,Cr,1
Dy,Tb,Cb,Dg,Cb,Cg,Cy,Sb,Sb,Tb,Tb,Cy,0
Cr,Dg,Ty,Tr,Cr,Sg,Cg,Tr,Cb,Dy,Cy,Dr,0
Cy,Db,Db,Ty,Sr,Cy,Db,Cg,Dr,Cy,Sy,Dr,1
Sr,Tg,Cg,Dg,Sg,Tb,Dg,Tb,Sb,Sr,Tb,Dr,0
Dg,Tg,Cy,Tg,Cr,Dy,Db,Tb,Cr,Db,Dr,Sb,1
Tb,Cg,Dy,Cb,Dg,Dg,Dy,Sy,Tg,Ty,Dr,Cg,0
Tg,Dy,Cb,Tr,Db,Dr,Sy,Dg,Dr,Db,Ty,Sr,0
Tg,Tr,Tr,Cg,Db,Ty,Dg,Sy,Tr,Cr,Sb,Cy,1
Tb,Sb,Cb,Ty,Tb,Cb,Cg,Dr,Dr,Cg,Tr,Tr,0
Cy,Sb,Tg,Tg,Tg,Tg,Tg,Sr,Cr,Ty,Db,Sg,0
Tb,Tg,Ty,Cg,Tg,Cg,Tr,Cb,Tr,Dg,Db,Cy,1
Ty,Sr,Sy,Db,Cy,Cg,Tg,Db,Sr,Cy,Db,Cb,0
Tr,Db,Cg,Cg,Sb,Dg,Dr,Sg,Sr,Sr,Cg,Sr,0
Tg,Dg,Tb,Sr,Cb,Dy,Sr,Cy,Sg,Dg,Ty,Sg,0
Tr,Cb,Dg,Dg,Cg,Cg,Dr,Cr,Sg,Tg,Sb,Sb,1
Tg,Tr,Ty,Dr,Tg,Sb,Sr,Dy,Sr,Ty,Sg,Cb,0
Db,Sb,Cy,Ty,Cg,Cy,Db,Tb,Cg,Cg,Sy,Tr,1
Dg,Sg,Sr,Sy,Tb,Tb,Tg,Cb,Cy,Ty,Dy,Dg,0
Dr,Db,Db,Sb,Sr,Ty,Sg,Dr,Cr,Tr,Cr,Sg,0
Sr,Dy,Sb,Cy,Sb,Cg,Dg,Cg,Ty,Sb,Tb,Cr,0
Tg,Cy,Tg,Sg,Ty,Sb,Tg,Cy,Tr,Tr,Sy,Dy,1
Dy,Cr,Db,Cb,Sr,Tr,Dr,Dy,Tg,Tr,Cy,Dg,1
Db,Sb,Tg,Sg,Dr,Tr,Tb,Cg,Tb,Cb,Ty,Cy,1
Ty,Sg,Tg,Ty,Cg,Cg,Dr,Dg,Db,Cg,Tg,Dy,1
Cr,Cb,Sg,Sg,Sy,Dg,Sb,Db,Sr,Tb,Dr,Cb,0
Cr,Ty,Sy,Ty,Db,Ty,Sy,Sb,Dr,Ty,Cr,Sg,1
Cr,Ty,Tg,Sb,Sy,Cb,Dg,Cr,Cy,Sy,Cb,Sg,1
Cb,Sr,Tr,Db,Dr,Cy,Tg,Tb,Cr,Dy,Dr,Cg,0
Cr,Sg,Dy,Cg,Dg,Db,Cb,Cr,Tr,Cb,Tb,Db,1
Db,Sy,Cg,Tg,Cg,Tr,Ty,Ty,Tb,Cg,Tb,Tg,0
Dr,Cb,Dr,Tg,Tr,Dy,Sr,Cr,Db,Dy,Cg,Cg,0
Cy,Dg,Cg,Cb,Dy,Sb,Tr,Cb,Cy,Dy,Db,Ty,0
Dy,Sy,Dr,Cr,Dr,Db,Tb,Cy,Tg,Tb,Cr,Dy,0
Cb,Dg,Cb,Cg,Db,Cr,Tr,Cb,Tg,Dy,Dr,Sr,0
Cg,Sy,Tr,Cb,Db,Cy,Sg,Sg,Dg,Db,Dy,Sy,0
Tr,Sg,Sb,Tg,Cy,Cy,Sy,Sb,Ty,Ty,Sy,Tg,0
Ty,Sy,Cr,Ty,Cg,Ty,Cb,Dg,Tb,Tr,Sb,Db,1
Dg,Tg,Ty,Dr,Cr,Cy,Cy,Cy,Tg,Tg,Tg,Dg,1
Sr,Cb,Cb,Dy,Cg,Cg,Cy,Ty,Dr,Sb,Sr,Cg,1
Dg,Ty,Tb,Dr,Sy,Dy,Dy,Sr,Cr,Sg,Cb,Sb,1
