token_0,token_1,token_2,token_3,token_4,token_5,label
Sg,Sg,Dr,Sr,Dg,Sg,1
Sg,Dr,Tg,Sr,Sr,Cg,1
Cg,Tg,Cg,Cr,Tr,Tr,0
Dg,Dr,Tr,Tr,Tg,Cg,1
Dr,Sr,Sg,Sr,Dg,Tg,0
Tg,Tr,Cg,Cg,Dr,Dr,0
Sr,Tg,Cg,Tg,Cr,Sr,0
Cg,Sr,Dr,Dg,Dr,Cg,1
Dr,Sr,Sg,Cg,Cg,Sg,0
Cr,Sg,Dr,Dg,Tg,Cg,0
Tr,Tr,Dg,Tr,Cg,Sr,1
Cr,Tg,Tg,Tg,Sr,Dg,0
Dg,Tg,Sr,Tg,Dr,Dr,1
Sg,Dg,Cr,Tg,Sr,Tg,1
Dg,Dg,Dg,Dg,Cr,Cg,0
Cr,Tg,Dr,Tg,Cg,Dr,1
Dr,Sg,Sg,Tr,Dr,Tg,1
Sg,Cg,Dg,Dr,Sr,Sg,1
Tg,Tr,Dr,Sr,Cg,Cg,1
Sg,Tg,Cg,Dg,Sg,Sr,0
Tg,Tr,Cg,Cr,Cr,Dr,1
Sg,Sg,Tg,Tg,Sg,Dr,1
Dg,Tr,Tg,Sg,Cg,Cg,1
Cg,Tr,Dg,Tg,Tg,Tg,0
Dr,Cr,Cr,Tg,Cg,Sr,1
Sr,Tr,Dg,Tr,Dg,Cr,1
Dg,Cg,Sr,Sg,Sr,Sg,0
Sr,Cg,Sr,Dr,Sg,Tr,0
Dg,Sg,Sg,Cg,Sg,Cr,0
Dg,Sg,Dg,Cg,Dr,Tr,1
Cr,Cg,Tr,Dr,Sr,Dr,0
Sr,Tr,Tg,Cr,Tg,Sr,1
Sg,Cg,Cr,Sr,Sr,Sg,1
Tr,Dr,Sr,Tg,Cg,Cg,1
Tg,Dg,Cr,Dr,Dg,Tg,0
Sg,Dg,Tg,Cg,Dg,Sr,1
Dg,Cg,Dg,Cg,Sr,Dr,0
Dr,Dg,Tr,Sr,Cg,Cg,0
Cg,Dr,Tr,Tr,Dr,Cg,0
Tg,Cr,Tr,Tg,Sg,Dg,0
Cg,Dr,Tg,Dg,Sg,Dr,1
Tg,Tg,Cr,Cr,Dr,Sr,0
Dr,Dg,Tr,Cr,Dg,Dr,1
Dr,Cg,Dr,Sg,Dg,Tg,1
Cg,Cr,Dr,Sg,Dg,Sg,1
Cr,Cr,Tg,Cr,Dg,Cg,0
Tr,Tg,Dg,Dr,Dg,Sr,1
Dg,Tr,Dr,Cg,Tg,Tr,0
Cr,Tr,Sg,Tg,Dr,Cr,0
Sr,Dr,Tg,Dg,Cg,Tg,0
Dg,Cg,Sr,Tr,Tr,Dr,0
Dr,Sg,Cr,Tr,Cg,Cr,1
Cr,Dg,Sr,Dg,Cr,Tr,1
Dg,Cr,Dg,Tr,Cg,Cg,1
Cr,Sg,Cr,Sr,Tg,Dg,1
Dg,Tg,Sr,Cr,Tg,Sr,1
Sr,Tg,Cg,Tr,Cr,Sg,0
Tr,Sr,Tr,Dg,Sg,Sg,1
