accno,title,note,source,accno_normalized,year_info
X-100,"Vase, Han style",listed as 200BC in card,Batch A,X100,"{'year': -200, 'type': 'bce', 'original': 'listed as 200bc in card'}"
X 100,Han vase (registrar dup),same physical as X100,Batch A,X100,
x_100,Vase Han-style,see photo sheet 7,Batch A,X100,
M-205,Landscape handscroll,dated 1752 in ledger,Batch A,M205,"{'year': 1752, 'type': 'ce', 'original': 'dated 1752 in ledger'}"
M205,Ink landscape scroll,Qing; note says 18th c,Batch A,M205,"{'year': 1778.0, 'type': 'period_midpoint', 'period': 'qing', 'range': (1644, 1912), 'original': 'qing; note says 18th c'}"
M 205,scroll landscape,c. mid-1700s,Batch A,M205,
T88,Bronze mirror,Tang; 618-907 range on card,Batch A,T88,"{'year': 762.5, 'type': 'range_midpoint', 'range': (618, 907), 'original': 'tang; 618-907 range on card'}"
T-088,mirror bronze,Tang dynasty per curator,Batch A,T88,"{'year': 762.5, 'type': 'period_midpoint', 'period': 'tang', 'range': (618, 907), 'original': 'tang dynasty per curator'}"
P401,Robe fragment,late 19th c; silk,Batch A,P401,
P-401,textile robe piece,circa 1890-1910,Batch A,P401,"{'year': 1900.0, 'type': 'range_midpoint', 'range': (1890, 1910), 'original': 'circa 1890-1910'}"
K12,Stone Bodhisattva,Northern Qi style; year unclear,Batch A,K12,"{'year': 563.5, 'type': 'period_midpoint', 'period': 'northern_qi', 'range': (550, 577), 'original': 'northern qi style; year unclear'}"
K-012,Bodhisattva stone,550 CE approx on label,Batch A,K12,"{'year': 550, 'type': 'ce', 'original': '550 ce approx on label'}"
R500,Celadon dish,Song; Longquan type,Batch A,R500,"{'year': 1119.5, 'type': 'period_midpoint', 'period': 'song', 'range': (960, 1279), 'original': 'song; longquan type'}"
R-500,dish celadon,Southern Song period note,Batch A,R500,"{'year': 1119.5, 'type': 'period_midpoint', 'period': 'song', 'range': (960, 1279), 'original': 'southern song period note'}"
D77,Lacquer box,Edo; 17th c,Batch A,D77,"{'year': 1735.5, 'type': 'period_midpoint', 'period': 'edo', 'range': (1603, 1868), 'original': 'edo; 17th c'}"
D-077,box lacquer,Japan; 1600s,Batch A,D77,
N300,Inkstone,Ming; Wanli reign mentioned,Batch A,N300,"{'year': 1506.0, 'type': 'period_midpoint', 'period': 'ming', 'range': (1368, 1644), 'original': 'ming; wanli reign mentioned'}"
N-300,stone ink,late Ming,Batch A,N300,"{'year': 1506.0, 'type': 'period_midpoint', 'period': 'ming', 'range': (1368, 1644), 'original': 'late ming'}"
B44,Porcelain figure,Kangxi period,Batch A,B44,"{'year': 1691.5, 'type': 'period_midpoint', 'period': 'kangxi', 'range': (1661, 1722), 'original': 'kangxi period'}"
B-044,figurine porcelain,Qing early,Batch A,B44,"{'year': 1778.0, 'type': 'period_midpoint', 'period': 'qing', 'range': (1644, 1912), 'original': 'qing early'}"
C901,Silver hairpin,Republic era; 1920s,Batch A,C901,"{'year': 1930.5, 'type': 'period_midpoint', 'period': 'republic', 'range': (1912, 1949), 'original': 'republic era; 1920s'}"
C-901,hairpin silver,early 20th c,Batch A,C901,"{'year': 1950, 'type': 'modern_approx', 'original': 'early 20th c'}"
H222,Ewer,Islamic metalwork; 12th c,Batch A,H222,
H-222,ewer brass,medieval,Batch A,H222,
J150,Wood printing block,Qing; 19th c,Batch A,J150,"{'year': 1778.0, 'type': 'period_midpoint', 'period': 'qing', 'range': (1644, 1912), 'original': 'qing; 19th c'}"
J-150,block print wood,1800s,Batch A,J150,
L600,Snuff bottle,Qianlong style,Batch A,L600,"{'year': 1765.5, 'type': 'period_midpoint', 'period': 'qianlong', 'range': (1735, 1796), 'original': 'qianlong style'}"
L-600,bottle snuff,18th c,Batch A,L600,
G333,Jade pendant,Warring States style,Batch A,G333,"{'year': -348.0, 'type': 'period_midpoint', 'period': 'warring_states', 'range': (-475, -221), 'original': 'warring states style'}"
G-333,pendant jade,Zhou period ref,Batch A,G333,
F888,Cloisonne vase,19th c export,Batch A,F888,
F-888,vase cloisonne,late Qing,Batch A,F888,"{'year': 1778.0, 'type': 'period_midpoint', 'period': 'qing', 'range': (1644, 1912), 'original': 'late qing'}"
A001,Rubbing,20th c copy of stele,Batch A,A1,"{'year': 1950, 'type': 'modern_approx', 'original': '20th c copy of stele'}"
A-001,stele rubbing,modern,Batch A,A1,"{'year': 1950, 'type': 'modern_approx', 'original': 'modern'}"
Z999,Replica vase,marked reproduction 1998,Batch A,Z999,"{'year': 1998, 'type': 'ce', 'original': 'marked reproduction 1998'}"
Z-999,vase replica,1998,Batch A,Z999,"{'year': 1998, 'type': 'ce', 'original': '1998'}"
X100,Vase Han,duplicate of batch A X-100,Batch B,X100,"{'year': 100, 'type': 'ce', 'original': 'duplicate of batch a x-100'}"
X100 ,Han vase,trailing space test,Batch B,X100,
M205,Handscroll landscape,1752 vs 18th c conflict,Batch B,M205,"{'year': 1752, 'type': 'ce', 'original': '1752 vs 18th c conflict'}"
T088,Mirror,T88 duplicate,Batch B,T88,
T88x,Bronze mirror (typo id),should match T88,Batch B,T88,
P401,Silk robe frag,1890-1910,Batch B,P401,"{'year': 1900.0, 'type': 'range_midpoint', 'range': (1890, 1910), 'original': '1890-1910'}"
K12,Stone figure,550 CE,Batch B,K12,"{'year': 550, 'type': 'ce', 'original': '550 ce'}"
K12 ,Bodhisattva,dup,Batch B,K12,
R500,Celadon plate,Longquan,Batch B,R500,
D77,Lacquer case,Edo,Batch B,D77,"{'year': 1735.5, 'type': 'period_midpoint', 'period': 'edo', 'range': (1603, 1868), 'original': 'edo'}"
N300,Inkstone Ming,Wanli,Batch B,N300,"{'year': 1596.0, 'type': 'period_midpoint', 'period': 'wanli', 'range': (1572, 1620), 'original': 'wanli'}"
B44,Porcelain statuette,Kangxi,Batch B,B44,"{'year': 1691.5, 'type': 'period_midpoint', 'period': 'kangxi', 'range': (1661, 1722), 'original': 'kangxi'}"
C901,Hairpin,1920s,Batch B,C901,
H222,Brass ewer,12th century,Batch B,H222,"{'year': 1150, 'type': 'century_approx', 'century': 12, 'original': '12th century'}"
J150,Printing block,19th century,Batch B,J150,"{'year': 1850, 'type': 'century_approx', 'century': 19, 'original': '19th century'}"
L600,Snuff bottle,Qianlong,Batch B,L600,"{'year': 1765.5, 'type': 'period_midpoint', 'period': 'qianlong', 'range': (1735, 1796), 'original': 'qianlong'}"
G333,Jade ornament,Warring States,Batch B,G333,"{'year': -348.0, 'type': 'period_midpoint', 'period': 'warring_states', 'range': (-475, -221), 'original': 'warring states'}"
F888,Cloisonne,export ware,Batch B,F888,
A001,Paper rubbing,modern,Batch B,A1,"{'year': 1950, 'type': 'modern_approx', 'original': 'modern'}"
Z999,Reproduction vase,1998,Batch B,Z999,"{'year': 1998, 'type': 'ce', 'original': '1998'}"
S400,Snuff dish,not in batch A; 1880,Batch B,S400,"{'year': 1880, 'type': 'ce', 'original': 'not in batch a; 1880'}"
S-400,dish snuff,late 19th,Batch B,S400,
W700,Bronze bell,Ming; 15th c,Batch B,W700,"{'year': 1506.0, 'type': 'period_midpoint', 'period': 'ming', 'range': (1368, 1644), 'original': 'ming; 15th c'}"
W-700,bell bronze,1400s,Batch B,W700,
Y050,Glass bead strand,Han,Batch B,Y50,"{'year': 7.0, 'type': 'period_midpoint', 'period': 'han', 'range': (-206, 220), 'original': 'han'}"
Y-050,beads glass,206 BCE-220 CE ref,Batch B,Y50,"{'year': -206, 'type': 'bce', 'original': '206 bce-220 ce ref'}"
Q120,Iron sword,Warring States,Batch B,Q120,"{'year': -348.0, 'type': 'period_midpoint', 'period': 'warring_states', 'range': (-475, -221), 'original': 'warring states'}"
Q-120,sword iron,400-200 BCE,Batch B,Q120,"{'year': -200, 'type': 'bce', 'original': '400-200 bce'}"
V303,Gilt bronze fitting,Tang,Batch B,V303,"{'year': 762.5, 'type': 'period_midpoint', 'period': 'tang', 'range': (618, 907), 'original': 'tang'}"
V-303,fitting gilt,618-907,Batch B,V303,"{'year': 762.5, 'type': 'range_midpoint', 'range': (618, 907), 'original': '618-907'}"
U808,Stoneware jar,Five Dynasties,Batch B,U808,"{'year': 933.5, 'type': 'period_midpoint', 'period': 'five_dynasties', 'range': (907, 960), 'original': 'five dynasties'}"
U-808,jar stoneware,10th c,Batch B,U808,
E505,Painting album leaf,19th c,Batch B,E505,
E-505,album painting,1800s,Batch B,E505,
