token_0,token_1,token_2,token_3,token_4,token_5,token_6,label
Tb,Sb,Sg,Tg,Tr,Tb,Tr,1
Sb,Tr,Tb,Tb,Tr,Sr,Tr,0
Sb,Sr,Sg,Tr,Tg,Tg,Tr,1
Sg,Sg,Tb,Tg,Sb,Sr,Sr,0
Sg,Tg,Sb,Tg,Tr,Sg,Sg,0
Tb,Tb,Tb,Sg,Sg,Tg,Sb,1
Tb,Sg,Tr,Tb,Tr,Tg,Tb,1
Sg,Sg,Tb,Tg,Sr,Tg,Tg,0
Sr,Tb,Sb,Tg,Tr,Tr,Sb,1
Sb,Tb,Sg,Sg,Tr,Sg,Tg,0
Sg,Sr,Tg,Tb,Tb,Tb,Tg,1
Sg,Tr,Sg,Tb,Sb,Tb,Sr,0
Sb,Tg,Tb,Tg,Tr,Sb,Sb,0
Sr,Sg,Tg,Sb,Sb,Tr,Tg,0
Tb,Sg,Tb,Sb,Sg,Tb,Tb,0
Tb,Tg,Sg,Sb,Sb,Tb,Sr,1
Tg,Tg,Sb,Sr,Sg,Tg,Tr,1
Sb,Sb,Tr,Tg,Tb,Sb,Tg,1
Sg,Sr,Tr,Sr,Tb,Tb,Tb,1
Tb,Sb,Sr,Tb,Sg,Tg,Sg,1
Sr,Sb,Tr,Tg,Sb,Tb,Sr,1
Tb,Sr,Tg,Sb,Tg,Sr,Sg,0
Tb,Sr,Tb,Tb,Tr,Tb,Sg,1
Sr,Sb,Sr,Sr,Sg,Sr,Sb,0
Sb,Sr,Tb,Tb,Sg,Sr,Sr,1
Sr,Sb,Sg,Tb,Sb,Tb,Tg,0
Tr,Sg,Tb,Sb,Sb,Sg,Tb,0
Tb,Tr,Sg,Sg,Sr,Sb,Tg,1
Tb,Tb,Sg,Tb,Sb,Sg,Sr,1
Tg,Sg,Tg,Sg,Sg,Tg,Sg,0
Sb,Sb,Sg,Sb,Sg,Tb,Sr,1
Sg,Tb,Tb,Sr,Sr,Tb,Sr,0
Tb,Sg,Tg,Sr,Tb,Sg,Sb,0
Sr,Tr,Tb,Sr,Tg,Sg,Tg,0
Sg,Sb,Sb,Tr,Sb,Sg,Tb,1
Sg,Tg,Tb,Sr,Sr,Tg,Tb,1
Sb,Tb,Tb,Tb,Sr,Sr,Tr,1
Tr,Sg,Sg,Tb,Sr,Tg,Sg,1
Sg,Sg,Sg,Tb,Tg,Sg,Sr,0
Sr,Tr,Sb,Tr,Tb,Tr,Sg,0
Sg,Sg,Sr,Sg,Tg,Tg,Sg,1
Tg,Tb,Sb,Tg,Tb,Tr,Tg,1
Tg,Tg,Tg,Sg,Tg,Sb,Tr,1
Sr,Sb,Tr,Tg,Sr,Tr,Tr,1
Tr,Tg,Sr,Sr,Sr,Tg,Sr,0
Tg,Sr,Tb,Tg,Tg,Tr,Sb,1
Sr,Tb,Tr,Sg,Tr,Tg,Tg,1
Tg,Sr,Tg,Tb,Sg,Tb,Tr,0
Tg,Tg,Tr,Sb,Tr,Tg,Sr,1
Sb,Sr,Sg,Sr,Sr,Tg,Tr,1
Sb,Sg,Tg,Tb,Sb,Sb,Tg,1
Sb,Sg,Tg,Sg,Tg,Tb,Tr,0
Tg,Sr,Tg,Tg,Tr,Tr,Tr,1
Sb,Tb,Sg,Tb,Tg,Sg,Tb,1
Tr,Sg,Tb,Sr,Sb,Tr,Sr,1
Tr,Tr,Tg,Tg,Tb,Sr,Tb,1
Sb,Sb,Sb,Sb,Tr,Tb,Sb,1
Tr,Sr,Sr,Sr,Sb,Tg,Tb,1
Tb,Tb,Tr,Tr,Tr,Sb,Sr,1
Sb,Sg,Sb,Sr,Tb,Sb,Sr,1
Sg,Tg,Tr,Sg,Tb,Tr,Tg,0
Tg,Sr,Sr,Tg,Tr,Sg,Tb,0
Tb,Tg,Sg,Tb,Tg,Tg,Sg,0
Sb,Tr,Tb,Sb,Sb,Sb,Tb,1
Tg,Sr,Sr,Tg,Tg,Tr,Sr,0
Tb,Tg,Sg,Sr,Tr,Sg,Tg,0
Tg,Sr,Sb,Sg,Tg,Tg,Sb,0
Tb,Sr,Tb,Tr,Sg,Sb,Sb,0
Tb,Tr,Tg,Tg,Sr,Tr,Tg,1
Sb,Sb,Tb,Sr,Tb,Tb,Tb,0
Tg,Tb,Tg,Sg,Sb,Tg,Sg,0
Tg,Sr,Sb,Tr,Tr,Sg,Sg,0
Sb,Tr,Sb,Tg,Tr,Tb,Sg,1
Sr,Tb,Tr,Tg,Tb,Sb,Tb,0
Sb,Sr,Sg,Tb,Tg,Tg,Sb,0
Sb,Sg,Sg,Tg,Sg,Tr,Sr,1
Tr,Sr,Tb,Sg,Tb,Sr,Sb,0
Tg,Sb,Sr,Sb,Sb,Sr,Tb,1
Tb,Tb,Tr,Tr,Tb,Tb,Tr,1
Sb,Tr,Sb,Tg,Sg,Sg,Tg,0
Sr,Tr,Sg,Sg,Tg,Tg,Sg,0
Sr,Sg,Tg,Sr,Sg,Tb,Tr,1
Sg,Sg,Tb,Sb,Sb,Sr,Sb,0
Tg,Tb,Tb,Sb,Tr,Tg,Tg,0
Tb,Tb,Tr,Sg,Sg,Sb,Tb,0
Sb,Sr,Sr,Sr,Tg,Tr,Tg,0
Sg,Sr,Tb,Tr,Tr,Sg,Tr,1
Tb,Sg,Sr,Tr,Tg,Tr,Tb,1
Sb,Sg,Tb,Sg,Sb,Tr,Sg,0
Sg,Tr,Tg,Tr,Sr,Sb,Sb,1
Sg,Tr,Sr,Tr,Sr,Sb,Sb,0
Sr,Tb,Tb,Tg,Tr,Sr,Sb,1
Sg,Tb,Tg,Tr,Tb,Tb,Sb,0
Tb,Tg,Sg,Sr,Sr,Tr,Sr,0
Tr,Sg,Tr,Sr,Sb,Sb,Tg,1
Tr,Sg,Sb,Sr,Sg,Sb,Sr,0
Tg,Tb,Sg,Sg,Sb,Sr,Sg,0
Sb,Sb,Sr,Sr,Sb,Tr,Tr,1
Tr,Sg,Sg,Tr,Tg,Sg,Tb,0
Sr,Tr,Tb,Sr,Tb,Tb,Tg,0
Tr,Tr,Sg,Tr,Tg,Tb,Sr,1
Sg,Sb,Sr,Sb,Tr,Sr,Sg,0
Tg,Tr,Sg,Sr,Tr,Tb,Sg,1
Tg,Tb,Tr,Tb,Tr,Tr,Tb,0
Sg,Tg,Tg,Sg,Tb,Sb,Tg,1
Sb,Tb,Tb,Sb,Sr,Tg,Tr,0
Sg,Tr,Tb,Sg,Sr,Tg,Tr,1
Sr,Sb,Sr,Tb,Sb,Sb,Tg,1
Tg,Tg,Sr,Sg,Sr,Tb,Sg,1
Sr,Sg,Tg,Tb,Sr,Sb,Sb,1
Sr,Sr,Sg,Tb,Tg,Tg,Sb,1
Sr,Sg,Sb,Sb,Sg,Sb,Tr,0
Tg,Tb,Tb,Sg,Tr,Sg,Sr,1
Tr,Sr,Sr,Tb,Sr,Tg,Sg,0
Sg,Tg,Sb,Tr,Tg,Sg,Sg,0
Sb,Sb,Sb,Sr,Sr,Tr,Tb,1
Tb,Sb,Tb,Tb,Tb,Tb,Sb,1
Sb,Sr,Tg,Sb,Sb,Sb,Sg,1
Sr,Tg,Sb,Sb,Tb,Sr,Sr,1
Tb,Sr,Sb,Sg,Sr,Sr,Tg,0
Sg,Sg,Tg,Sb,Tg,Tr,Sb,1
Tr,Sg,Tr,Tg,Tb,Sg,Tr,1
Tg,Sr,Sb,Tb,Sb,Tg,Sb,0
Sg,Sr,Sb,Sb,Sr,Tr,Sr,0
Tg,Tg,Sg,Tg,Tr,Tb,Sb,0
Tb,Tb,Sr,Tr,Sr,Sr,Tg,1
Tg,Tb,Tr,Sb,Tg,Tr,Tg,1
Tr,Sb,Sr,Sr,Tb,Tb,Tr,0
Tr,Sr,Sb,Tr,Sr,Tb,Sr,0
Tg,Sr,Sg,Tg,Tr,Tr,Tg,1
Sg,Tr,Tg,Sg,Sg,Sr,Sb,0
Tb,Sg,Tg,Tg,Tr,Tr,Tr,0
Sr,Sr,Sb,Sg,Tr,Tb,Sb,1
Tr,Sg,Sg,Sr,Tg,Sb,Sg,1
Sr,Tr,Tg,Sr,Sg,Tb,Tb,0
